Poem,Interpreted
"[['ساقی به نور باده برافروز جام ما', 'مطرب بگو که کار جهان شد به کام ما'], ['ما در پیاله عکس رخ یار دیده\u200cایم', 'ای بی\u200cخبر ز لذت شرب مدام ما'], ['هرگز نمیرد آن که دلش زنده شد به عشق', 'ثبت است بر جریده عالم دوام ما'], ['چندان بود کرشمه و ناز سهی قدان', 'کاید به جلوه سرو صنوبرخرام ما'], ['ای باد اگر به گلشن احباب بگذری', 'زنهار عرضه ده بر جانان پیام ما'], ['گو نام ما ز یاد به عمدا چه می\u200cبری', 'خود آید آن که یاد نیاری ز نام ما'], ['مستی به چشم شاهد دلبند ما خوش است', 'زان رو سپرده\u200cاند به مستی زمام ما'], ['ترسم که صرفه\u200cای نبرد روز بازخواست', 'نان حلال شیخ ز آب حرام ما'], ['حافظ ز دیده دانه اشکی همی\u200cفشان', 'باشد که مرغ وصل کند قصد دام ما'], ['دریای اخضر فلک و کشتی هلال', 'هستند غرق نعمت حاجی قوام ما']]","['دل بستن به دنیا و خوشی های زودگذر آن چیزی جز ناامیدی به همراه ندارد. از روزهایی که در پیش دارید هراس نداشته باشید، روزهای خوبی در آینده در انتظار شماست.', 'به مردم عشق بورز و با مهربانی رفتار کن، که عشق و محبت کلید رسیدن به آرزوهای دلتان است. به زودی زیارتی نصیب شما خواهد شد و برکت و نعمت به زندگی تان سرازیر خواهد شد.', 'وصال یار نزدیک است.']"
"[['ای فروغ ماه حسن از روی رخشان شما', 'آب روی خوبی از چاه زنخدان شما'], ['عزم دیدار تو دارد جان بر لب آمده', 'بازگردد یا برآید چیست فرمان شما'], ['کس به دور نرگست طرفی نبست از عافیت', 'به که نفروشند مستوری به مستان شما'], ['بخت خواب آلود ما بیدار خواهد شد مگر', 'زان که زد بر دیده آبی روی رخشان شما'], ['با صبا همراه بفرست از رخت گلدسته\u200cای', 'بو که بویی بشنویم از خاک بستان شما'], ['عمرتان باد و مراد ای ساقیان بزم جم', 'گر چه جام ما نشد پرمی به دوران شما'], ['دل خرابی می\u200cکند دلدار را آگه کنید', 'زینهار ای دوستان جان من و جان شما'], ['کی دهد دست این غرض یا رب که همدستان شوند', 'خاطر مجموع ما زلف پریشان شما'], ['دور دار از خاک و خون دامن چو بر ما بگذری', 'کاندر این ره کشته بسیارند قربان شما'], ['می\u200cکند حافظ دعایی بشنو آمینی بگو', 'روزی ما باد لعل شکرافشان شما'], ['ای صبا با ساکنان شهر یزد از ما بگو', 'کای سر حق ناشناسان گوی چوگان شما'], ['گر چه دوریم از بساط قرب همت دور نیست', 'بنده شاه شماییم و ثناخوان شما'], ['ای شهنشاه بلنداختر خدا را همتی', 'تا ببوسم همچو اختر خاک ایوان شما']]","['این روزها بخت و اقبال با شماست. گاهی زود از کوره در می روید که اصلا به صلاحتان نیست، سعی کنید خشم و غضب را از خود دور کرده و آرامش خود را حفظ کنید.', 'به فکر آخرت خود باشید که دنیا به هیچکس وفا نکرده است. کسانی قصد کمک به شما را دارند، دست رد به سینه شان نزنید.', 'ناامیدی را از خود دور کرده و به تلاش خود ادامه دهید، با توکل به خدا و سعی و تلاش حتما به مقصود خواهید رسید.']"
"[['می\u200cدمد صبح و کله بست سحاب', 'الصبوح الصبوح یا اصحاب'], ['می\u200cچکد ژاله بر رخ لاله', 'المدام المدام یا احباب'], ['می\u200cوزد از چمن نسیم بهشت', 'هان بنوشید دم به دم می ناب'], ['تخت زمرد زده است گل به چمن', 'راح چون لعل آتشین دریاب'], ['در میخانه بسته\u200cاند دگر', 'افتتح یا مفتح الابواب'], ['لب و دندانت را حقوق نمک', 'هست بر جان و سینه\u200cهای کباب'], ['این چنین موسمی عجب باشد', 'که ببندند میکده به شتاب'], ['بر رخ ساقی پری پیکر', 'همچو حافظ بنوش باده ناب']]","['صبور باشید، عجله در کارها به نفع شما نخواهد بود. مشکلات زیادی برای رسیدن به مراد دلتان سر راه شما قرار دارد که با سعی و تلاش آن ها را یک به یک پشت سر می گذارید. نگران نباشید سرانجام سختی ها به پایان خواهد رسید.', 'پایمال کردن حق دیگران ممکن است گره در کارتان ایجاد کند، سعی کنید حق کسی را پایمال نکنید.', 'غم روزها را نخورید و شاد باشید که گذشت زمان همه چیز را درست می کند، مشکلات حل خواهد شد و شما به مقصودتان خواهید رسید.']"
"[['گفتم ای سلطان خوبان رحم کن بر این غریب', 'گفت در دنبال دل ره گم کند مسکین غریب'], ['گفتمش مگذر زمانی گفت معذورم بدار', 'خانه پروردی چه تاب آرد غم چندین غریب'], ['خفته بر سنجاب شاهی نازنینی را چه غم', 'گر ز خار و خاره سازد بستر و بالین غریب'], ['ای که در زنجیر زلفت جای چندین آشناست', 'خوش فتاد آن خال مشکین بر رخ رنگین غریب'], ['می\u200cنماید عکس می در رنگ روی مه وشت', 'همچو برگ ارغوان بر صفحه نسرین غریب'], ['بس غریب افتاده است آن مور خط گرد رخت', 'گر چه نبود در نگارستان خط مشکین غریب'], ['گفتم ای شام غریبان طره شبرنگ تو', 'در سحرگاهان حذر کن چون بنالد این غریب'], ['گفت حافظ آشنایان در مقام حیرتند', 'دور نبود گر نشیند خسته و مسکین غریب']]","['خدا را همیشه در نظر داشته و شکرگزار او باشید. گاهی احساس تنهایی می کنید اما بدانید خداوند در همه حال همراه و حامی شما خواهد بود.', 'آن چه برای خود می پسندید برای دیگران هم بخواهید. به زودی از سرگردانی نجات پیدا می کنید. دوستان دلسوز کمکتان می کنند و با مشورت با آن ها می توانید به مقصود خود برسید.', 'صبر داشته باشید، به زودی به مقامی نائل می شوید که همه انگشت به دهان خواهند ماند!']"
"[['ای شاهد قدسی که کشد بند نقابت', 'و ای مرغ بهشتی که دهد دانه و آبت'], ['خوابم بشد از دیده در این فکر جگرسوز', 'کاغوش که شد منزل آسایش و خوابت'], ['درویش نمی\u200cپرسی و ترسم که نباشد', 'اندیشه آمرزش و پروای ثوابت'], ['راه دل عشاق زد آن چشم خماری', 'پیداست از این شیوه که مست است شرابت'], ['تیری که زدی بر دلم از غمزه خطا رفت', 'تا باز چه اندیشه کند رای صوابت'], ['هر ناله و فریاد که کردم نشنیدی', 'پیداست نگارا که بلند است جنابت'], ['دور است سر آب از این بادیه هش دار', 'تا غول بیابان نفریبد به سرابت'], ['تا در ره پیری به چه آیین روی ای دل', 'باری به غلط صرف شد ایام شبابت'], ['ای قصر دل افروز که منزلگه انسی', 'یا رب مکناد آفت ایام خرابت'], ['حافظ نه غلامیست که از خواجه گریزد', 'صلحی کن و بازآ که خرابم ز عتابت']]","['از روزهای جوانی نهایت استفاده را ببرید تا در آینده افسوس نخورید. از خداوند کمک بخواهید و به او پناه ببرید.', 'گاهی گمان می کنید فریب دوستان و اطرافیان به ظاهر دلسوز را خورده اید، برای تغییر سرنوشت، لازم است بیشتر فکر کنید تا راه درست را انتخاب کرده و دچار خطا نشوید.', 'به توصیه و اندرز پیران گوش فرا دهید. مراقب باشید ظواهر دنیا فریب تان ندهد. به خداوند توکل کنید و در همه حال در بندگی خالق یکتا بکوشید.']"
"[['خمی که ابروی شوخ تو در کمان انداخت', 'به قصد جان من زار ناتوان انداخت'], ['نبود نقش دو عالم که رنگ الفت بود', 'زمانه طرح محبت نه این زمان انداخت'], ['به یک کرشمه که نرگس به خودفروشی کرد', 'فریب چشم تو صد فتنه در جهان انداخت'], ['شراب خورده و خوی کرده می\u200cروی به چمن', 'که آب روی تو آتش در ارغوان انداخت'], ['به بزمگاه چمن دوش مست بگذشتم', 'چو از دهان توام غنچه در گمان انداخت'], ['بنفشه طره مفتول خود گره می\u200cزد', 'صبا حکایت زلف تو در میان انداخت'], ['ز شرم آن که به روی تو نسبتش کردم', 'سمن به دست صبا خاک در دهان انداخت'], ['من از ورع می و مطرب ندیدمی زین پیش', 'هوای مغبچگانم در این و آن انداخت'], ['کنون به آب می لعل خرقه می\u200cشویم', 'نصیبه ازل از خود نمی\u200cتوان انداخت'], ['مگر گشایش حافظ در این خرابی بود', 'که بخشش ازلش در می مغان انداخت'], ['جهان به کام من اکنون شود که دور زمان', 'مرا به بندگی خواجه جهان انداخت']]","['رقیبان و اطرافیان حسود با ظاهری دلسوز قصد فریب و خوار کردن شما را دارند. هوشیار باشید و گول ظواهر را نخورید. با کمی تلاش و اتکا به خدا و خود، گره ها را باز کنید.', 'سفری در پیش دارید که نتایج خوبی به همراه داشته و در کار و زندگی تان گشایش حاصل خواهد شد. به زودی به مراد و مقصودتان خواهید رسید.', 'در خوشی ها نیز به یاد خداوند باشید و بندگی او را فراموش نکنید.']"
"[['سینه از آتش دل در غم جانانه بسوخت', 'آتشی بود در این خانه که کاشانه بسوخت'], ['تنم از واسطه دوری دلبر بگداخت', 'جانم از آتش مهر رخ جانانه بسوخت'], ['سوز دل بین که ز بس آتش اشکم دل شمع', 'دوش بر من ز سر مهر چو پروانه بسوخت'], ['آشنایی نه غریب است که دلسوز من است', 'چون من از خویش برفتم دل بیگانه بسوخت'], ['خرقه زهد مرا آب خرابات ببرد', 'خانه عقل مرا آتش میخانه بسوخت'], ['چون پیاله دلم از توبه که کردم بشکست', 'همچو لاله جگرم بی می و خمخانه بسوخت'], ['ماجرا کم کن و بازآ که مرا مردم چشم', 'خرقه از سر به درآورد و به شکرانه بسوخت'], ['ترک افسانه بگو حافظ و می نوش دمی', 'که نخفتیم شب و شمع به افسانه بسوخت']]","['دل بسته هرکسی شدید و به هرکس وفا کردید بی وفایی و جفا دیدید. سینه از غم و اندوه لبریز شده و از کاری که کرده اید پشیمان هستید. اما باید غم را کنار گذاشته و دست از نکوهش خود بردارید تا اوضاع عوض شود.', 'رویاپردازی و توقع بیش از حد و زندگی در وهم و خیال، شما را از پیشرفت بازخواهد داشت. به دنیای واقعی بازگشته و با به کار گرفتن عقل و اندیشه برای رسیدن به اهداف خود تلاش کنید.', 'از داشته هایتان لذت ببرید و استوار و محکم به مسیرتان ادامه دهید. موفقیت با شما خواهد بود.']"
"[['ساقیا آمدن عید مبارک بادت', 'وان مواعید که کردی مرواد از یادت'], ['در شگفتم که در این مدت ایام فراق', 'برگرفتی ز حریفان دل و دل می\u200cدادت'], ['برسان بندگی دختر رز گو به درآی', 'که دم و همت ما کرد ز بند آزادت'], ['شادی مجلسیان در قدم و مقدم توست', 'جای غم باد مر آن دل که نخواهد شادت'], ['شکر ایزد که ز تاراج خزان رخنه نیافت', 'بوستان سمن و سرو و گل و شمشادت'], ['چشم بد دور کز آن تفرقه\u200cات بازآورد', 'طالع نامور و دولت مادرزادت'], ['حافظ از دست مده دولت این کشتی نوح', 'ور نه طوفان حوادث ببرد بنیادت']]","['بر سر عهد و پیمان خود بمانید تا روزگارتان بهاری و به خوشی ایام عید باشد. مژده که به زودی هر آنچه باعث غم و درد شما شده برطرف خواهد شد و دلتان شاد و باطراوت خواهد شد.', 'شکر خدا را به جای بیاورید و قدر ایام خوش را بدانید. فرصت های پیش رو را غنیمت دانسته و بیشترین بهره را از موقعیت های خوب ببرید.', 'طالع روشنی دارید و ایام به کامتان خواهد بود. از زندگی لذت ببرید.']"
"[['ای نسیم سحر آرامگه یار کجاست', 'منزل آن مه عاشق کش عیار کجاست'], ['شب تار است و ره وادی ایمن در پیش', 'آتش طور کجا موعد دیدار کجاست'], ['هر که آمد به جهان نقش خرابی دارد', 'در خرابات بگویید که هشیار کجاست'], ['آن کس است اهل بشارت که اشارت داند', 'نکته\u200cها هست بسی محرم اسرار کجاست'], ['هر سر موی مرا با تو هزاران کار است', 'ما کجاییم و ملامت گر بی\u200cکار کجاست'], ['بازپرسید ز گیسوی شکن در شکنش', 'کاین دل غمزده سرگشته گرفتار کجاست'], ['عقل دیوانه شد آن سلسله مشکین کو', 'دل ز ما گوشه گرفت ابروی دلدار کجاست'], ['ساقی و مطرب و می جمله مهیاست ولی', 'عیش بی یار مهیا نشود یار کجاست'], ['حافظ از باد خزان در چمن دهر مرنج', 'فکر معقول بفرما گل بی خار کجاست']]","['دچار غم و اندوه شده اید. نگران نباشید. گمشده ای که مدتی دنبالش هستید را به زودی پیدا خواهید کرد و مشکلات و غصه ها به پایان خواهد رسید. ناامید نشوید و به مسیرتان ادامه دهید که پیروزی با شماست.', 'هوشیار باشید. در آینده ای نزدیک خبرهای خوبی دریافت می کنید. بعد از شب تاریک و سیاه صبح سپید در انتظارتان خواهد بود.', 'خوب فکر کنید و از عقل خود یاری بگیرید. به توانمندی های خود اعتماد کنید اما خود را بی عیب و نقص ندانید که هرکس خوبی ها و بدی های خودش را دارد و شما نیز از این قانون مستثنی نیستید.']"
"[['روزه یک سو شد و عید آمد و دل\u200cها برخاست', 'می ز خمخانه به جوش آمد و می باید خواست'], ['نوبه زهدفروشان گران جان بگذشت', 'وقت رندی و طرب کردن رندان پیداست'], ['چه ملامت بود آن را که چنین باده خورد', 'این چه عیب است بدین بی\u200cخردی وین چه خطاست'], ['باده نوشی که در او روی و ریایی نبود', 'بهتر از زهدفروشی که در او روی و ریاست'], ['ما نه رندان ریاییم و حریفان نفاق', 'آن که او عالم سر است بدین حال گواست'], ['فرض ایزد بگزاریم و به کس بد نکنیم', 'وان چه گویند روا نیست نگوییم رواست'], ['چه شود گر من و تو چند قدح باده خوریم', 'باده از خون رزان است نه از خون شماست'], ['این چه عیب است کز آن عیب خلل خواهد بود', 'ور بود نیز چه شد مردم بی\u200cعیب کجاست']]","['به خداوند اعتماد کنید و خودتان را به او بسپارید تا بر همه مشکلات و ناامیدی ها غلبه کرده و پیروز شوید. از زمانه گله مند نباشید و در برابر سرنوشت و خواست خداوند مقاومت نکنید. او صلاح شما را بهتر می داند و بهترین تقدیر را برای شما رقم خواهد زد.', 'از اطرافیان دورو دلگیر و ناراحت هستید اما با صداقت باطنی می توانید زندگی خوش و خوبی را داشته باشید.', 'خداوند را فراموش نکنید که او از نیت قلبی شما آگاه است و در همه حال همراه و هادی شما خواهد بود تا از سرگردانی نجات پیدا کنید.']"
